order_date,delivery_date,client_id,client_name,product_family,quantity,unit_price,revenue,on_time,non_conformity,unit_cost,margin,margin_rate
2024-05-10,2024-05-29,CL001,Renault,Emboutissage,4462,6.04,26950.48,Yes,No,1.14,21863.8,81.13
2024-11-10,2024-12-08,CL010,Legrand,Chaudronnerie,265,1136.21,301095.65,Yes,No,173.14,255213.55,84.76
2022-05-02,2022-06-20,CL004,Safran,Tôlerie,1017,324.83,330352.11,No,No,117.22,211139.37,63.91
2023-04-12,2023-05-25,CL009,Saint-Gobain,Chaudronnerie,1765,675.74,1192681.1,Yes,No,817.97,-251035.95,-21.05
2022-11-27,2023-01-05,CL013,Michelin,Emboutissage,2581,3.59,9265.79,No,No,6.42,-7304.23,-78.83
2022-03-29,2022-04-07,CL014,Plastic Omnium,Tôlerie,3918,280.1,1097431.8,Yes,No,301.63,-84354.54,-7.69
2024-05-21,2024-06-15,CL010,Legrand,Découpage,3007,4.13,12418.91,Yes,No,1.87,6795.82,54.72
2022-05-11,2022-06-09,CL006,Schneider Electric,Tôlerie,2813,72.44,203773.72,Yes,No,46.67,72491.01,35.57
2024-02-09,2024-03-15,CL016,Soitec,Emboutissage,3775,6.43,24273.25,No,No,4.07,8909.0,36.7
2022-12-10,2023-01-15,CL006,Schneider Electric,Découpage,4389,4.13,18126.57,Yes,No,2.56,6890.73,38.01
2024-03-16,2024-04-30,CL017,Dassault Aviation,Tôlerie,3393,120.61,409229.73,Yes,No,141.84,-72033.39,-17.6
2023-01-21,2023-03-12,CL010,Legrand,Découpage,108,0.57,61.56,Yes,No,0.66,-9.72,-15.79
2024-08-13,2024-10-05,CL018,Naval Group,Découpage,206,1.91,393.46,Yes,No,1.19,148.32,37.7
2022-10-04,2022-11-04,CL027,Constellium,Emboutissage,2539,6.29,15970.31,Yes,No,5.56,1853.47,11.61
2023-04-05,2023-05-18,CL022,Mecachrome,Découpage,887,1.12,993.44,Yes,No,1.42,-266.1,-26.79
2022-01-22,2022-03-16,CL018,Naval Group,Chaudronnerie,1878,967.02,1816063.56,Yes,No,1163.1,-368238.24,-20.28
2022-09-10,2022-09-24,CL003,Airbus,Emboutissage,2675,5.97,15969.75,Yes,No,2.71,8720.5,54.61
2024-01-18,2024-03-06,CL020,Hutchinson,Chaudronnerie,1398,1277.99,1786630.02,Yes,Yes,346.08,1302810.18,72.92
2024-05-06,2024-05-28,CL027,Constellium,Découpage,2425,1.73,4195.25,Yes,Yes,1.69,97.0,2.31
2023-04-20,2023-05-04,CL021,Lisi Group,Chaudronnerie,579,920.05,532708.95,Yes,No,709.87,121694.22,22.84
2024-12-18,2024-12-25,CL025,Manoir Industries,Tôlerie,2647,400.25,1059461.75,Yes,No,40.07,953396.46,89.99
2023-05-26,2023-07-15,CL028,Aperam,Découpage,1075,4.74,5095.5,Yes,No,0.67,4375.25,85.86
2023-12-01,2023-12-12,CL015,Forvia,Tôlerie,431,437.85,188713.35,No,No,93.25,148522.6,78.7
2024-09-02,2024-09-11,CL015,Forvia,Chaudronnerie,2893,1215.71,3517049.03,No,No,283.12,2697982.87,76.71
2022-07-09,2022-07-16,CL004,Safran,Tôlerie,1214,234.63,284840.82,Yes,No,142.58,111748.7,39.23
2024-08-15,2024-08-25,CL029,Timet,Découpage,554,2.0,1108.0,Yes,No,3.39,-770.06,-69.5
2023-11-18,2024-01-03,CL027,Constellium,Tôlerie,4176,106.23,443616.48,Yes,No,195.41,-372415.68,-83.95
2024-08-15,2024-09-25,CL009,Saint-Gobain,Chaudronnerie,3649,391.79,1429641.71,Yes,No,930.72,-1966555.57,-137.56
2023-07-17,2023-08-24,CL027,Constellium,Chaudronnerie,1233,1439.04,1774336.32,Yes,No,589.05,1048037.67,59.07
2024-04-11,2024-05-29,CL026,Hydro Extrusion,Chaudronnerie,3182,667.63,2124398.66,Yes,No,547.59,381967.28,17.98
2023-10-09,2023-11-18,CL019,MBDA,Découpage,777,1.65,1282.05,Yes,No,0.37,994.56,77.58
2022-01-21,2022-03-11,CL024,Aubert & Duval,Chaudronnerie,3667,1996.75,7322082.25,Yes,No,770.42,4496952.11,61.42
2024-04-20,2024-05-21,CL028,Aperam,Découpage,664,1.35,896.4,Yes,No,1.85,-332.0,-37.04
2022-06-16,2022-07-02,CL017,Dassault Aviation,Tôlerie,2456,116.63,286443.28,Yes,No,84.72,78370.96,27.36
2023-01-23,2023-02-19,CL011,Total Energies,Chaudronnerie,230,377.63,86854.9,Yes,No,1103.05,-166846.6,-192.1
2023-08-24,2023-10-15,CL025,Manoir Industries,Tôlerie,3676,310.91,1142905.16,Yes,No,190.19,443766.72,38.83
2022-11-12,2022-12-27,CL009,Saint-Gobain,Emboutissage,4287,6.65,28508.55,Yes,No,2.84,16333.47,57.29
2022-01-14,2022-02-16,CL010,Legrand,Tôlerie,4412,214.35,945712.2,No,No,81.28,587104.84,62.08
2022-08-30,2022-10-02,CL018,Naval Group,Emboutissage,2579,5.82,15009.78,Yes,No,4.18,4229.56,28.18
2024-02-16,2024-02-24,CL020,Hutchinson,Tôlerie,1023,404.78,414089.94,Yes,No,272.14,135690.72,32.77
2023-07-19,2023-09-04,CL013,Michelin,Découpage,2061,4.18,8614.98,Yes,No,1.2,6141.78,71.29
2024-06-16,2024-08-09,CL008,Valeo,Tôlerie,3995,481.06,1921834.7,Yes,No,103.92,1506674.3,78.4
2022-04-02,2022-04-21,CL007,Faurecia,Découpage,4953,4.21,20852.13,Yes,No,1.97,11094.72,53.21
2024-08-13,2024-08-28,CL017,Dassault Aviation,Découpage,4909,3.04,14923.36,Yes,No,0.8,10996.16,73.68
2023-05-24,2023-07-21,CL021,Lisi Group,Chaudronnerie,4320,523.38,2261001.6,Yes,No,979.93,-1972296.0,-87.23
2024-02-15,2024-03-28,CL023,Figeac Aero,Découpage,3029,0.95,2877.55,Yes,No,2.24,-3907.41,-135.79
